
Document-Frequency,120,30,80,90,9286,accumulative,aceh,adi,adu,ahp,aju,akses,aksi,akurasi,alternatif,ambil,analisa,analytical,anggap,apache,aparatur,atas,badan,baik,bakat,balap,banding,bangun,bantu,bas,basis,bayes,beda,belimbing,bidang,bkd,blue,bobot,borda,buah,buka,bukti,burundi,butuh,calon,cctv,change,cipta,circuit,ciri,citra,closed,cocok,coratcoret,coretcoret,cropping,daerah,dasar,data,database,dekat,dengan,detection,deteksi,diamana,differences,dinding,dindingdinding,dukung,dunia,e,efektif,efisien,egovernment,ekspektasi,ekstraksi,elektronik,end,fitur,front,fungsi,gabung,gam,gatewayhasil,gdss,gera,gerak,gihosha,government,green,guna,hadap,harap,harus,hasil,hierarchy,ideal,identifikasi,ijin,illumination,images,industri,internet,invariant,isi,jabat,jadi,judi,kabupaten,kamera,kandidat,kantor,kelahi,kelola,kelompok,keluh,kembang,kerja,ketidaksesuaian,klasifikasi,kompetensi,kompetisi,komputer,komunikasi,kondisi,kota,kriteria,kualitas,kulit,kurang,lalu,lapang,latih,layan,lebih,liar,lingkung,lowong,lulus,mahasiswa,maju,maksimal,maksimum,malam,mampu,mana,manajemen,manis,manusia,masalah,masingmasing,masyarakat,mata,matching,mengganggap,metode,milik,model,modern,mysql,nai,nakal,negara,negaranegara,nepotisme,nilai,objektif,oleh,pada,pagi,panen,pasca,pegawai,pemrosesan,pengaruh,perankingan,perintah,php,pilih,pkl,pns,politeknik,praktek,process,prodi,produksi,profil,profile,properti,proses,publik,putus,rangking,red,referensi,rekomendasi,remaja,rendah,republik,rgb,saing,salah,sedia,segi,selatan,sepenuh,server,sesuai,siang,simpul,simulasi,sipil,sistem,skala,sms,solusi,sore,sortir,struktural,studi,subkriteria,sulit,swasta,tambah,tara,teknik,teknologi,television,teliti,tempat,tengahtengah,tentu,terap,tinggi,tingkat,tuju,tunjang,ubah,uji,undangundang,upaya,usah,usaha,usul,ve,video,visual,warga,warna,web,webcam,
,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,5,1,1,1,1,2,3,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,





TF-IDF,120,30,80,90,9286,accumulative,aceh,adi,adu,ahp,aju,akses,aksi,akurasi,alternatif,ambil,analisa,analytical,anggap,apache,aparatur,atas,badan,baik,bakat,balap,banding,bangun,bantu,bas,basis,bayes,beda,belimbing,bidang,bkd,blue,bobot,borda,buah,buka,bukti,burundi,butuh,calon,cctv,change,cipta,circuit,ciri,citra,closed,cocok,coratcoret,coretcoret,cropping,daerah,dasar,data,database,dekat,dengan,detection,deteksi,diamana,differences,dinding,dindingdinding,dukung,dunia,e,efektif,efisien,egovernment,ekspektasi,ekstraksi,elektronik,end,fitur,front,fungsi,gabung,gam,gatewayhasil,gdss,gera,gerak,gihosha,government,green,guna,hadap,harap,harus,hasil,hierarchy,ideal,identifikasi,ijin,illumination,images,industri,internet,invariant,isi,jabat,jadi,judi,kabupaten,kamera,kandidat,kantor,kelahi,kelola,kelompok,keluh,kembang,kerja,ketidaksesuaian,klasifikasi,kompetensi,kompetisi,komputer,komunikasi,kondisi,kota,kriteria,kualitas,kulit,kurang,lalu,lapang,latih,layan,lebih,liar,lingkung,lowong,lulus,mahasiswa,maju,maksimal,maksimum,malam,mampu,mana,manajemen,manis,manusia,masalah,masingmasing,masyarakat,mata,matching,mengganggap,metode,milik,model,modern,mysql,nai,nakal,negara,negaranegara,nepotisme,nilai,objektif,oleh,pada,pagi,panen,pasca,pegawai,pemrosesan,pengaruh,perankingan,perintah,php,pilih,pkl,pns,politeknik,praktek,process,prodi,produksi,profil,profile,properti,proses,publik,putus,rangking,red,referensi,rekomendasi,remaja,rendah,republik,rgb,saing,salah,sedia,segi,selatan,sepenuh,server,sesuai,siang,simpul,simulasi,sipil,sistem,skala,sms,solusi,sore,sortir,struktural,studi,subkriteria,sulit,swasta,tambah,tara,teknik,teknologi,television,teliti,tempat,tengahtengah,tentu,terap,tinggi,tingkat,tuju,tunjang,ubah,uji,undangundang,upaya,usah,usaha,usul,ve,video,visual,warga,warna,web,webcam,
DOKUMEN 0,0.0,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,1.6094379124341003,0.0,0.0,1.6094379124341003,0.0,4.828313737302301,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,1.6094379124341003,0.0,9.162907318741551,1.6094379124341003,0.0,4.828313737302301,1.6094379124341003,1.6094379124341003,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,8.047189562170502,1.6094379124341003,1.6094379124341003,6.437751649736401,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.828313737302301,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6694306539426294,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,1.6094379124341003,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,0.0,3.2188758248682006,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.5108256237659907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,3.2188758248682006,0.0,0.0,0.0,0.8925742052568391,0.0,0.0,1.6094379124341003,0.0,0.0,3.2188758248682006,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.0216512475319814,0.9162907318741551,0.0,0.0,0.0,0.9162907318741551,0.0,3.2188758248682006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,1.6094379124341003,0.0,0.6694306539426294,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.5108256237659907,0.0,0.0,3.6651629274966204,0.5108256237659907,0.0,0.0,0.0,0.0,0.0,0.0,3.2188758248682006,0.0,0.0,0.0,0.0,1.6094379124341003,
DOKUMEN 1,1.6094379124341003,1.6094379124341003,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,9.656627474604601,0.0,0.0,1.6094379124341003,0.0,0.0,9.656627474604601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.828313737302301,3.6651629274966204,0.0,0.0,0.0,0.0,0.0,0.0,1.0216512475319814,2.7488721956224653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,1.6094379124341003,0.0,0.0,4.828313737302301,0.0,0.0,4.828313737302301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.5108256237659907,0.0,0.0,0.0,0.44628710262841953,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.437751649736401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,1.6094379124341003,0.0,0.0,1.6094379124341003,0.0,0.0,0.44628710262841953,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.5108256237659907,0.0,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,4.828313737302301,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108256237659907,0.9162907318741551,0.0,0.0,0.5108256237659907,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,1.6094379124341003,0.0,4.828313737302301,0.0,0.0,
DOKUMEN 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,3.2188758248682006,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.9162907318741551,1.6094379124341003,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.9162907318741551,0.0,1.8325814637483102,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108256237659907,0.0,1.6094379124341003,1.6094379124341003,0.22314355131420976,0.0,3.2188758248682006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,9.656627474604601,0.0,0.0,0.0,0.0,4.828313737302301,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.9162907318741551,0.9162907318741551,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2188758248682006,1.6094379124341003,0.44628710262841953,1.6094379124341003,0.9162907318741551,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,1.6094379124341003,3.5757793663619353,1.6094379124341003,0.9162907318741551,0.0,0.0,0.0,0.0,3.2188758248682006,0.0,1.6094379124341003,0.0,3.2188758248682006,0.0,0.9162907318741551,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,4.828313737302301,3.2188758248682006,0.0,1.0216512475319814,0.0,1.8325814637483102,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,0.0,3.2188758248682006,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,1.6094379124341003,0.0,1.6094379124341003,0.6694306539426294,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.9162907318741551,0.0,0.0,0.0,3.2188758248682006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.9162907318741551,0.0,0.0,1.6094379124341003,0.9162907318741551,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DOKUMEN 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,6.437751649736401,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.437751649736401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,3.2188758248682006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108256237659907,0.0,1.6094379124341003,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.9162907318741551,0.0,3.2188758248682006,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,1.6094379124341003,1.6094379124341003,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,3.2188758248682006,1.6094379124341003,0.0,0.5108256237659907,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,4.828313737302301,0.0,0.0,0.0,0.0,3.2188758248682006,0.0,6.437751649736401,2.5541281188299534,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,8.047189562170502,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,4.828313737302301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8325814637483102,0.0,1.6094379124341003,0.0,0.0,0.9162907318741551,1.6094379124341003,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108256237659907,3.6651629274966204,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,1.6094379124341003,1.6094379124341003,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,1.3388613078852587,0.0,8.047189562170502,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0649537425959443,0.9162907318741551,0.0,0.0,0.5108256237659907,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,9.656627474604601,0.0,8.047189562170502,0.0,
DOKUMEN 4,0.0,0.0,0.0,0.0,0.0,0.0,4.828313737302301,0.0,0.0,3.2188758248682006,0.0,0.0,0.0,0.0,6.437751649736401,2.7488721956224653,0.0,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,3.2188758248682006,0.0,0.0,0.0,0.0,1.8325814637483102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108256237659907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7488721956224653,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8925742052568391,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.437751649736401,0.0,0.5108256237659907,1.8325814637483102,1.6094379124341003,0.0,1.6094379124341003,0.0,3.2188758248682006,0.0,0.0,0.0,1.8325814637483102,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,16.094379124341003,0.0,1.6094379124341003,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.6694306539426294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5108256237659907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,1.8325814637483102,14.484941211906902,0.0,4.828313737302301,1.6094379124341003,1.6094379124341003,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,6.414035123119086,4.828313737302301,0.0,0.0,1.8325814637483102,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,1.6094379124341003,4.828313737302301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8925742052568391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.9162907318741551,0.0,0.0,0.0,3.2188758248682006,0.0,4.828313737302301,0.0,0.9162907318741551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6094379124341003,6.437751649736401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,






COSINUS SIMILARITY,,Rumus yang digunakan = document1.document2 / |document1|x|document2|


,Dokumen1,Dokumen2,Dokumen3,Dokumen4,Dokumen5,
Dokumen1,1.0,0.080717933819705,0.01799544938536503,0.01667836312788034,0.0032811103707645413,
Dokumen2,0.080717933819705,1.0,0.0188890668355308,0.008182171119490756,0.003708554884188768,
Dokumen3,0.01799544938536503,0.0188890668355308,0.9999999999999999,0.010790979379122767,0.05799746149063014,
Dokumen4,0.01667836312788034,0.008182171119490756,0.010790979379122767,1.0,0.0037161341129976666,
Dokumen5,0.0032811103707645413,0.003708554884188768,0.05799746149063014,0.0037161341129976666,1.0,
